TOWNAME,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,POINT_X,POINT_Y,lon,lat
Adeito (Adaito),YES,NA,1373,1578.95,Bosome Freho,Ashanti,NA,No,NA,NA,678275.8484,712503.4471,6.443423299,-1.387971999
Adense,YES,NA,151,173.65,Kwabre,Ashanti,NA,No,NA,NA,666372.9095,747681.5506,6.76186649,-1.494615108
Adense,YES,NA,234,269.1,Ejisu-Juaben Municipal,Ashanti,NA,No,NA,NA,666401.7383,747621.5385,6.761322999,-1.494355999
Adidwan,YES,NA,2718,3125.7,Mampong Municipal,Ashanti,NA,No,NA,NA,676454.6969,802194.7696,7.254507397,-1.401737199
Adiembra,YES,NA,889,1022.35,Asante Akim North,Ashanti,NA,No,NA,NA,698203.06,745322.5591,6.739561698,-1.206774499
Adiembra Nkwanta,YES,NA,428,492.2,Ejura-Sekyedumase,Ashanti,NA,No,NA,NA,665689.8551,822582.0003,7.439195598,-1.498598899
Adiemra (Adeemmra New Town),YES,NA,917,1054.55,Adansi North,Ashanti,NA,No,NA,NA,664267.6116,690650.7124,6.246190199,-1.515174799
Adimposo No.1,YES,NA,505,580.75,Amansie West,Ashanti,NA,No,NA,NA,618185.7319,699708.2473,6.329122899,-1.9314858
Adimposo No.2,YES,NA,632,726.8,Amansie West,Ashanti,NA,No,NA,NA,618479.4164,700433.537,6.335677398,-1.928817399
Adinkra,YES,NA,1190,1368.5,Amansie Central,Ashanti,NA,No,NA,NA,638266.619,677641.7459,6.129146599,-1.750434299
Adjamam (Lake Side),YES,NA,703,808.45,Bosumtwe,Ashanti,NA,No,NA,NA,680008.0215,718018.2254,6.493240898,-1.372153799
Adjamesu,YES,NA,3084,3546.6,Bekwai Municipal,Ashanti,NA,No,NA,NA,648091.388,721278.3901,6.523570099,-1.6606444
Adjeikrom,YES,TBEA,53,60.95,Ahafo Ano South,Ashanti,NA,No,NA,NA,605744.7503,776528.3142,7.024165399,-2.0426038
Adoato,YES,NA,9428,10842.2,Kumasi Metropolitan,Ashanti,FEEDER ROAD,No,NA,NA,649803.761,741826.6433,6.709358107,-1.644653898
Adobewora,YES,NA,1801,2071.15,Atwima Mponua,Ashanti,NA,No,NA,NA,609223.4873,723253.7202,6.542247799,-2.012093299
Adofo Krom,YES,UWE,11,12.65,Asante Akim South,Ashanti,NA,No,2015,NA,718627.0642,715547.1424,6.469657999,-1.023130398
Adofo-Asiama,YES,NA,24,27.6,Asante Akim Central Municipal,Ashanti,NA,No,NA,NA,698349.8467,735077.9263,6.646928798,-1.205785198
Adom Koforidua (Mama Gyasi),YES,NA,268,308.2,Adansi North,Ashanti,NA,No,NA,NA,673675.6511,690417.8983,6.243838099,-1.430162299
Adomakoma Bouho (Krobo),YES,NA,1337,1537.55,Kwabre,Ashanti,NA,No,NA,NA,649260.4247,749158.561,6.775678098,-1.6493852
Adomanu (Adomenu),YES,NA,1641,1887.15,Adansi North,Ashanti,NA,No,NA,NA,646136.6695,696823.4643,6.302452298,-1.678889499
Adomfe,YES,NA,4875,5606.25,Asante Akim South,Ashanti,NA,No,NA,NA,711837.9639,737314.9693,6.666696698,-1.083742099
Aduaden,YES,NA,2723,3131.45,Bosumtwe,Ashanti,NA,No,NA,NA,655501.1059,724555.8823,6.553027298,-1.593560599
Aduamoa,YES,NA,1886,2168.9,Kwabre,Ashanti,NA,No,NA,NA,650138.4876,755490.3782,6.832917598,-1.641280399
