Name.1,Community,ELECT_STAT,PROJECT,POP,POP 2020,DISTRICT,REGION,REMARKS,ISLAND,YOE,COMMUNITY_,X-Coord,Y-Coord,lon,lat
NORTHERN,Dobun No.1,ONGOING,VE&N,217,249.55,Kpandai,Northern,NA,No,NA,NA,827497.8546,936515.4117,8.461011499,-2.60E-02
NORTHERN,Jalaga (Yalanga),NO,NA,235,270.25,Tatale Sangule,Northern,NA,No,NA,NA,873037.1594,1045203.077,9.439008797,0.396200705
NORTHERN,Gabliga,NO,NA,271,311.65,Karaga,Northern,NA,No,NA,NA,775820.9155,1113582.012,10.0643115,-0.483551198
NORTHERN,Dobun No.2,ONGOING,VE&N,468,538.2,Kpandai,Northern,NA,No,NA,NA,837436.2579,936766.3351,8.462581291,6.42E-02
NORTHERN,Dodope 1,NO,NA,16,18.4,Kpandai,Northern,NA,No,NA,NA,825836.1234,931534.0152,8.416127897,-0.041396397
NORTHERN,Jamoni,NO,NA,117,134.55,Zabzugu,Northern,NA,No,NA,NA,863287.9137,1030860.472,9.310344298,0.306317504
NORTHERN,Janboni,NO,NA,415,477.25,Yendi Municipal,Northern,NA,No,NA,NA,848136.7743,1028296.204,9.288438496,0.168365304
NORTHERN,Deeni (Deiduli),NO,NA,427,491.05,Nanumba North,Northern,NA,No,NA,NA,809521.7994,989845.7914,8.944019697,-0.185480097
NORTHERN,Janjanboni,NO,NA,491,564.65,Tatale Sangule,Northern,NA,No,NA,NA,869602.9486,1046851.7,9.454194895,0.365117005
NORTHERN,Gbalga,NO,NA,140,161,Karaga,Northern,NA,No,NA,NA,786744.4878,1109553.919,10.02714439,-0.384253199
NORTHERN,Jashie,NO,NA,325,373.75,Mion,Northern,NA,No,NA,NA,778847.8979,1040673.541,9.405316696,-0.460937398
NORTHERN,Jatido,NO,NA,366,420.9,Zabzugu,Northern,NA,No,NA,NA,876008.7367,985203.2904,8.897021197,0.418029505
NORTHERN,Jayondo,NO,NA,146,167.9,Tatale Sangule,Northern,NA,No,NA,NA,875382.7559,1045937.577,9.445433602,0.417594805
NORTHERN,Jayondo,NO,NA,899,1033.85,Tatale Sangule,Northern,NA,No,NA,NA,880947.2025,998145.7569,9.013457496,0.463972805
NORTHERN,Jebon,NO,NA,39,44.85,Mion,Northern,NA,No,NA,NA,792654.4827,1039379.632,9.392699795,-0.335401798
NORTHERN,Jegbuni,NO,NA,138,158.7,Mion,Northern,NA,No,NA,NA,808789.8836,1009829.763,9.124608158,-0.190730945
NORTHERN,Jehanjolugu,NO,NA,233,267.95,Mion,Northern,NA,No,NA,NA,777344.7891,1039849.037,9.397964597,-0.474668898
